schemaVersion,recordType,source_name,source_url,title,authors,paper_url,github_url,github_stars,published_date,collectedAt
1.0,RESEARCH_PAPER,arXiv,https://arxiv.org/abs/2608.27066v1,Beyond Classification: Task-Dependent Learnability under Privacy-Motivated Image Transformations,"[""Leon Ranke"", ""Wolfgang Hübner"", ""Ronny Hug"", ""Michael Arens"", ""Jürgen Beyerer""]",https://arxiv.org/abs/2608.27066v1,,,2026-08-27T12:52:16Z,2026-08-28T12:32:41.187267+00:00
1.0,RESEARCH_PAPER,arXiv,https://arxiv.org/abs/2608.27046v1,Performance Foundations of Parallel & Distributed Reasoning Language Models,"[""Maciej Besta"", ""Leonard Schmidt"", ""Lara Nonino"", ""Robert Gerstenberger"", ""Pierre Pang"", ""Patrik Okanovic"", ""Ales Kubicek"", ""Tiancheng Chen"", ""Baraq Lipshitz"", ""Torsten Hoefler""]",https://arxiv.org/abs/2608.27046v1,,,2026-08-27T12:33:47Z,2026-08-28T12:32:41.187334+00:00
1.0,RESEARCH_PAPER,arXiv,https://arxiv.org/abs/2608.27044v1,Omni-Interactive Universal Embedder,"[""Wei-Yao Wang"", ""Kazuya Tateishi"", ""Shuyang Cui"", ""Christian Simon"", ""Takashi Shibuya"", ""Shusuke Takahashi"", ""Yuki Mitsufuji""]",https://arxiv.org/abs/2608.27044v1,,,2026-08-27T12:31:55Z,2026-08-28T12:32:41.187391+00:00
1.0,RESEARCH_PAPER,arXiv,https://arxiv.org/abs/2608.27039v1,Multi-Person Human Motion Forecasting in Complex Scenes,"[""Serdar Ozsoy"", ""Lars Doorenbos"", ""Juergen Gall""]",https://arxiv.org/abs/2608.27039v1,,,2026-08-27T12:25:46Z,2026-08-28T12:32:41.187435+00:00
1.0,RESEARCH_PAPER,arXiv,https://arxiv.org/abs/2608.27021v1,FaulT-Bench: Towards Benchmarking Network Troubleshooting LLM Agents under Unreliable User Tickets,"[""Kuan-Hao Tseng"", ""Niruth Bogahawatta"", ""Yasod Ginige"", ""Kunjan Patel"", ""Kosta Dakic"", ""Suranga Seneviratne""]",https://arxiv.org/abs/2608.27021v1,,,2026-08-27T12:07:10Z,2026-08-28T12:32:41.187502+00:00
1.0,RESEARCH_PAPER,arXiv,https://arxiv.org/abs/2608.27011v1,Magnon-induced phononic Chern insulator,"[""Rui-Chang Shen"", ""Yihao Yang"", ""Haoran Xue""]",https://arxiv.org/abs/2608.27011v1,,,2026-08-27T11:55:52Z,2026-08-28T12:32:41.187541+00:00
1.0,RESEARCH_PAPER,arXiv,https://arxiv.org/abs/2608.27010v1,"A Multi-Modal AI Framework for Real-Time Queue Prediction, Management and Optimisation in Intelligent Border Control Systems","[""Varvara Mama"", ""Eleni Veroni"", ""Nikolaos Kapsalis"", ""Christos D. Nikolopoulos"", ""Anargyros T. Baklezos""]",https://arxiv.org/abs/2608.27010v1,,,2026-08-27T11:55:40Z,2026-08-28T12:32:41.187595+00:00
1.0,RESEARCH_PAPER,arXiv,https://arxiv.org/abs/2608.26991v1,ASIL: Replacing Screenshot-and-Click with Structured State and Semantic Actions,"[""Rui Xie"", ""Lu Chen""]",https://arxiv.org/abs/2608.26991v1,,,2026-08-27T11:38:19Z,2026-08-28T12:32:41.187644+00:00
1.0,RESEARCH_PAPER,arXiv,https://arxiv.org/abs/2608.26990v1,DSA: Evidence-Aware LLM-Agent Orchestration for Multi-Market Stock Research,"[""Linsen Zhu"", ""Yi Shi""]",https://arxiv.org/abs/2608.26990v1,,,2026-08-27T11:37:13Z,2026-08-28T12:32:41.187695+00:00
1.0,RESEARCH_PAPER,arXiv,https://arxiv.org/abs/2608.26983v1,GraphMemix: Query-Aware Evidence Forests for Long-Term Multimodal Agent Memory,"[""Geng Li"", ""Yuhao Wang"", ""Dong Li"", ""Jianye Hao"", ""Yuxin Peng""]",https://arxiv.org/abs/2608.26983v1,,,2026-08-27T11:28:49Z,2026-08-28T12:32:41.187744+00:00
1.0,RESEARCH_PAPER,arXiv,https://arxiv.org/abs/2608.26951v1,Per-View Gaussian Predictions Enable Training-Free Distractor Filtering in Feed-Forward 3DGS,"[""Kangmin Seo"", ""Jae-Pil Heo""]",https://arxiv.org/abs/2608.26951v1,,,2026-08-27T10:52:28Z,2026-08-28T12:32:41.187795+00:00
1.0,RESEARCH_PAPER,arXiv,https://arxiv.org/abs/2608.26950v1,From Atomic to Agentic: Towards Interpretable Evaluation of LLMs' Agentic Mathematical Capabilities,"[""Jiayi Kuang"", ""Yinghui Li"", ""Yunze Song"", ""Keyu Chen"", ""Zhifeng Shen"", ""Yangning Li"", ""Yidong Wang"", ""Di Yin"", ""Ruizhi Qiao"", ""Xing Sun"", ""Kai Jin"", ""Ying Shen"", ""Liang Lin"", ""Philip S. Yu""]",https://arxiv.org/abs/2608.26950v1,,,2026-08-27T10:52:06Z,2026-08-28T12:32:41.187851+00:00
1.0,RESEARCH_PAPER,arXiv,https://arxiv.org/abs/2608.26949v1,A Table Is Worth 64 Tokens: Pixel-level Compression for Multi-Table Document Question Answering,"[""Iñigo Alonso"", ""Mirella Lapata""]",https://arxiv.org/abs/2608.26949v1,,,2026-08-27T10:50:13Z,2026-08-28T12:32:41.187897+00:00
1.0,RESEARCH_PAPER,arXiv,https://arxiv.org/abs/2608.26899v1,Counterfactual Bias Testing for Application Tracking System,"[""Sai Yashwant"", ""Shruti Bansal"", ""Anurag Dubey"", ""Samaroha Chatterjee"", ""Satyam Kumar"", ""Shreyash Gupta"", ""Gantala Thulsiram""]",https://arxiv.org/abs/2608.26899v1,,,2026-08-27T10:01:36Z,2026-08-28T12:32:41.187961+00:00
1.0,RESEARCH_PAPER,arXiv,https://arxiv.org/abs/2608.26896v1,AI agents in Algorithmic Electricity Markets: On the Emergence of Tacit Collusion,"[""Jakub Seredyński"", ""Georgios Tsaousoglou""]",https://arxiv.org/abs/2608.26896v1,,,2026-08-27T09:51:48Z,2026-08-28T12:32:41.188006+00:00
1.0,RESEARCH_PAPER,arXiv,https://arxiv.org/abs/2608.26895v1,When Memory Takes Gradients: Collaborative Vector Memory for Agentic Recommender Systems,"[""Hanchong Chen"", ""Xing Tang"", ""Lingjie Li"", ""Xiongfeng Shan"", ""Xiuqiang He""]",https://arxiv.org/abs/2608.26895v1,,,2026-08-27T09:51:18Z,2026-08-28T12:32:41.188062+00:00
1.0,RESEARCH_PAPER,arXiv,https://arxiv.org/abs/2608.26889v1,"Learning-Augmented Online Allocation under Unreliable Advice: Robustness, Exposure Fairness, and Distribution Shift","[""Fredy Pokou""]",https://arxiv.org/abs/2608.26889v1,,,2026-08-27T09:46:04Z,2026-08-28T12:32:41.188090+00:00
