organization,official_website,logo_url,verification_status,source_type
Lorbus,https://huggingface.co/Lorbus/Qwen3.6-27B-int4-AutoRound,https://huggingface.co/front/assets/huggingface_logo-noborder.svg,primary_model_source,Hugging Face model page
Abiray,https://huggingface.co/Abiray/MiniMax-H3-GGUF,https://huggingface.co/front/assets/huggingface_logo-noborder.svg,primary_model_source,Hugging Face model page
Qdrant,https://huggingface.co/Qdrant/all-MiniLM-L6-v2-onnx,https://huggingface.co/front/assets/huggingface_logo-noborder.svg,primary_model_source,Hugging Face model page
ibm-research,https://huggingface.co/ibm-research/PowerMoE-3b,https://huggingface.co/front/assets/huggingface_logo-noborder.svg,primary_model_source,Hugging Face model page
zhihan1996,https://huggingface.co/zhihan1996/DNABERT-2-117M,https://huggingface.co/front/assets/huggingface_logo-noborder.svg,primary_model_source,Hugging Face model page
onnx-community,https://huggingface.co/onnx-community/Kokoro-82M-v1.0-ONNX,https://huggingface.co/front/assets/huggingface_logo-noborder.svg,primary_model_source,Hugging Face model page
classla,https://huggingface.co/classla/wav2vec2-xls-r-parlaspeech-hr,https://huggingface.co/front/assets/huggingface_logo-noborder.svg,primary_model_source,Hugging Face model page
shibing624,https://huggingface.co/shibing624/text2vec-base-chinese,https://huggingface.co/front/assets/huggingface_logo-noborder.svg,primary_model_source,Hugging Face model page
alefiury,https://huggingface.co/alefiury/wav2vec2-large-xlsr-53-gender-recognition-librispeech,https://huggingface.co/front/assets/huggingface_logo-noborder.svg,primary_model_source,Hugging Face model page
thenlper,https://huggingface.co/thenlper/gte-small,https://huggingface.co/front/assets/huggingface_logo-noborder.svg,primary_model_source,Hugging Face model page
camenduru,https://huggingface.co/camenduru/dinov3-vitl16-pretrain-lvd1689m,https://huggingface.co/front/assets/huggingface_logo-noborder.svg,primary_model_source,Hugging Face model page
Helsinki-NLP,https://huggingface.co/Helsinki-NLP/opus-mt-nl-en,https://huggingface.co/front/assets/huggingface_logo-noborder.svg,primary_model_source,Hugging Face model page
k2-fsa,https://huggingface.co/k2-fsa/OmniVoice,https://huggingface.co/front/assets/huggingface_logo-noborder.svg,primary_model_source,Hugging Face model page
litert-community,https://huggingface.co/litert-community/gemma-4-E2B-it-litert-lm,https://huggingface.co/front/assets/huggingface_logo-noborder.svg,primary_model_source,Hugging Face model page
Bahushruth,https://huggingface.co/Bahushruth/Qwen3.6-35B-A3B-abliterated-v4,https://huggingface.co/front/assets/huggingface_logo-noborder.svg,primary_model_source,Hugging Face model page
gagan3012,https://huggingface.co/gagan3012/wav2vec2-xlsr-nepali,https://huggingface.co/front/assets/huggingface_logo-noborder.svg,primary_model_source,Hugging Face model page
allenai,https://allenai.org/,https://www.google.com/s2/favicons?domain=allenai.org&sz=128,verified_official,known_official_mapping
sakamakismile,https://huggingface.co/sakamakismile/Qwen3.6-27B-Text-NVFP4-MTP,https://huggingface.co/front/assets/huggingface_logo-noborder.svg,primary_model_source,Hugging Face model page
cdiamond,https://huggingface.co/cdiamond/Qwen3.8-27B-iMatrix-NVFP4-MTP-GGUF,https://huggingface.co/front/assets/huggingface_logo-noborder.svg,primary_model_source,Hugging Face model page
kresnik,https://huggingface.co/kresnik/wav2vec2-large-xlsr-korean,https://huggingface.co/front/assets/huggingface_logo-noborder.svg,primary_model_source,Hugging Face model page
pysentimiento,https://huggingface.co/pysentimiento/robertuito-sentiment-analysis,https://huggingface.co/front/assets/huggingface_logo-noborder.svg,primary_model_source,Hugging Face model page
unslothai,https://huggingface.co/unslothai/1,https://huggingface.co/front/assets/huggingface_logo-noborder.svg,primary_model_source,Hugging Face model page
lightx2v,https://huggingface.co/lightx2v/Minimax-h3-Turbo,https://huggingface.co/front/assets/huggingface_logo-noborder.svg,primary_model_source,Hugging Face model page
ZhengPeng7,https://huggingface.co/ZhengPeng7/BiRefNet,https://huggingface.co/front/assets/huggingface_logo-noborder.svg,primary_model_source,Hugging Face model page
LuffyTheFox,https://huggingface.co/LuffyTheFox/Qwen3.6-35B-A3B-Uncensored-Genesis-Hermes-V13-GGUF,https://huggingface.co/front/assets/huggingface_logo-noborder.svg,primary_model_source,Hugging Face model page
Yehor,https://huggingface.co/Yehor/w2v-xls-r-uk,https://huggingface.co/front/assets/huggingface_logo-noborder.svg,primary_model_source,Hugging Face model page
ggml-org,https://huggingface.co/ggml-org/Qwen3.8-27B-GGUF,https://huggingface.co/front/assets/huggingface_logo-noborder.svg,primary_model_source,Hugging Face model page
rippertnt,https://huggingface.co/rippertnt/HyperCLOVAX-SEED-Text-Instruct-1.5B-Q4_K_M-GGUF,https://huggingface.co/front/assets/huggingface_logo-noborder.svg,primary_model_source,Hugging Face model page
raxcore-dev,https://huggingface.co/raxcore-dev/Rax-4.5,https://huggingface.co/front/assets/huggingface_logo-noborder.svg,primary_model_source,Hugging Face model page
CompVis,https://huggingface.co/CompVis/stable-diffusion-safety-checker,https://huggingface.co/front/assets/huggingface_logo-noborder.svg,primary_model_source,Hugging Face model page
bigscience,https://huggingface.co/bigscience/bloomz-560m,https://huggingface.co/front/assets/huggingface_logo-noborder.svg,primary_model_source,Hugging Face model page
TaylorAI,https://huggingface.co/TaylorAI/bge-micro-v2,https://huggingface.co/front/assets/huggingface_logo-noborder.svg,primary_model_source,Hugging Face model page
LiquidAI,https://huggingface.co/LiquidAI/LFM2.5-2.6B-GGUF,https://huggingface.co/front/assets/huggingface_logo-noborder.svg,primary_model_source,Hugging Face model page
openbmb,https://huggingface.co/openbmb/MiniCPM-o-4_5,https://huggingface.co/front/assets/huggingface_logo-noborder.svg,primary_model_source,Hugging Face model page
saattrupdan,https://huggingface.co/saattrupdan/wav2vec2-xls-r-300m-ftspeech,https://huggingface.co/front/assets/huggingface_logo-noborder.svg,primary_model_source,Hugging Face model page
shawnw3i,https://huggingface.co/shawnw3i/Huihui-Qwen3.6-27B-abliterated-AWQ-MTP,https://huggingface.co/front/assets/huggingface_logo-noborder.svg,primary_model_source,Hugging Face model page
jhgan,https://huggingface.co/jhgan/ko-sroberta-multitask,https://huggingface.co/front/assets/huggingface_logo-noborder.svg,primary_model_source,Hugging Face model page
Serveurperso,https://huggingface.co/Serveurperso/Qwen3-TTS-GGUF,https://huggingface.co/front/assets/huggingface_logo-noborder.svg,primary_model_source,Hugging Face model page
nlptown,https://huggingface.co/nlptown/bert-base-multilingual-uncased-sentiment,https://huggingface.co/front/assets/huggingface_logo-noborder.svg,primary_model_source,Hugging Face model page
MoritzLaurer,https://huggingface.co/MoritzLaurer/mDeBERTa-v3-base-xnli-multilingual-nli-2mil7,https://huggingface.co/front/assets/huggingface_logo-noborder.svg,primary_model_source,Hugging Face model page
